subject_id	property_id	property_label	property_description	property_uri	object_id	subject_qid	property_pid	object_qid	reference_uri	reference_supporting_text	reference_date	property_term	subject_type	object_type	subject_term	object_term	prevalence	curation_evidence	curation_date	curator_uri	comments
UniProt:Q96IV0	skos:exactMatch	exact match			EC:3.5.1.52	Q21119040	P2888	Q21119040	https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.	2014-03-20	same_as	protein	enzyme	N-Glycanase 1	PNGase|peptide:N-glycanase			2017-03-22	http://orcid.org/0000-0003-0169-8159	
UniProt:Q96IV0	RO:0002331	involved in			GO:0006517	Q21119040	P682	Q14905965	https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.	2014-03-20	participates	protein	biological process	N-Glycanase 1	protein deglycosilation		GOA (human)	2017-03-22	http://orcid.org/0000-0003-0169-8159	
UniProt:Q96IV0	RO:0002331	involved in			GO:0006515	Q21119040	P682	Q21108009	https://www.ncbi.nlm.nih.gov/pubmed/24651605	Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1.	2014-03-20	participates	protein	biological process	N-Glycanase 1	misfolded or incompletely synthesized protein catabolic process		GOA (human)	2017-03-22	http://orcid.org/0000-0003-0169-8159	
UniProt:Q96IV0	RO:0002331	involved in			GO:0006516	Q21119040	P682	Q21101373	https://www.ncbi.nlm.nih.gov/pubmed/24651605	Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1.	2014-03-20	participates	protein	biological process	N-Glycanase 1	glycoprotein catabolic process		GOA (human)	2017-03-22	http://orcid.org/0000-0003-0169-8159	
UniProt:Q96IV0	RO:0002331	involved in			GO:0097466	Q21119040	P682	Q21115846	https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97. The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.	2014-03-20	participates	protein	biological process	N-Glycanase 1	ubiquitin-dependent glycoprotein ERAD pathway		Not in GOA, but evidence on Reactome (http://www.reactome.org/content/detail/R-HSA-8850594) [accessed at 2017-03-16]; PMID: 11562482	2017-03-22	http://orcid.org/0000-0003-0169-8159	
UniProt:Q96IV0	RO:0002331	involved in			GO:0071712	Q21119040	P682	Q21109270	https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97. The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.	2014-03-20	participates	protein	biological process	N-Glycanase 1	ER-associated misfolded protein catabolic process		Not in GOA	2017-03-22	http://orcid.org/0000-0003-0169-8159	
UniProt:Q96IV0	RO:0002331	involved in			Reactome:R-HSA-532668	Q21119040	P361	Q29017194	https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97. The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.	2014-03-20	participates	protein	pathway	N-Glycanase 1	ERAD pathway			2017-03-22	http://orcid.org/0000-0003-0169-8159	note-2017-07-05: ERAD pathway in wikidata as GO term (biological process): https://www.wikidata.org/wiki/Q21101062 (GO:0036503)
UniProt:Q96IV0	RO:0002327	enables			GO:0000224	Q21119040	P680	Q21119039	https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.	2014-03-20	molecular_activity	protein	molecular function	N-Glycanase 1	cleavage of the B-aspartyl glycosylamine bond of N-linked glycoproteins, releasing intact N-glycans from proteins bound for degradation.		GOA (human)	2017-03-22	http://orcid.org/0000-0003-0169-8159	
UniProt:Q96IV0	RO:0002331	involved in			Reactome:R-HSA-8850594	Q21119040	P361	Q29017200	https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.	2014-03-20	participates	protein	reaction	N-Glycanase 1	Deglycosylation complex hydrolyses N-glycans from unfolded glycoproteins			2017-03-22	http://orcid.org/0000-0003-0169-8159	
UniProt:Q96IV0	BFO:0000050	is part of			GO:0005829	Q21119040	P681	Q220599	https://www.ncbi.nlm.nih.gov/pubmed/24651605	Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1.	2014-03-20	in_cell_component	protein	cell component	N-Glycanase 1	cytosol		GOA (human)	2017-03-22	http://orcid.org/0000-0003-0169-8159	
