subject_id	property_id	property_label	property_description	property_uri	object_id	subject_qid	property_pid	object_qid	reference_uri	reference_supporting_text	reference_date	property_term	subject_type	object_type	subject_term	object_term	prevalence	curation_evidence	curation_date	curator_uri	comments
CHEBI:506227	skos:exactMatch	exact match			HMDB:HMDB00215	Q27225758	P2888	Q27225758	https://www.ncbi.nlm.nih.gov/pubmed/16237703	N-Acetyl-D-Glucosamine (N-acetlyglucosamine) is a monosaccharide derivative of glucose. Chemically it is an amide between glucosamine and acetic acid. A single N-acetlyglucosamine moiety linked to serine or threonine residues on nuclear and cytoplasmic proteins -O-GlcNAc, is an ubiquitous post-translational protein modification. O-GlcNAc modified proteins are involved in sensing the nutrient status of the surrounding cellular environment and adjusting the activity of cellular proteins accordingly. O-GlcNAc regulates cellular responses to hormones such as insulin, initiates a protective response to stress, modulates a cell's capacity to grow and divide, and regulates gene transcription. In humans, it exists in skin, cartilage and blood vessel as a component of hyaluronic acid, and bone tissue, cornea and aorta as a component of keratan sulfate.	2006-01-01	sameAs	chemical compound	chemical compound	GlcNAc	GlcNAc		http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:506227	05-18-2017	http://orcid.org/0000-0003-0169-8159	
CHEBI:506227	rdfs:seeAlso	see also			DrugBank:DB00141	Q27225758	P715	Q284367				xref	chemical compound	pharmaceutical drug	GlcNAc	GlcNAc		http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:506227	05-18-2017	http://orcid.org/0000-0003-0169-8159	
CHEBI:17411	skos:exactMatch	exact match			DrugBank:DB00141	Q284367	P2888	Q284367				sameAs	pharmaceutical drug	pharmaceutical drug	GlcNAc	GlcNAc		http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:506227	05-18-2017	http://orcid.org/0000-0003-0169-8159	
CHEBI:506227	RO:0002331	involved in			GO:0006040	Q27225758	P682	Q21136023				BioFunction	chemical compound	biological_process	GlcNAc	Component of Aminosugars metabolism		http://www.hmdb.ca/metabolites/HMDB00215	05-18-2017	http://orcid.org/0000-0003-0169-8159	
CHEBI:506227	RO:0002331	involved in			GO:0006536	Q27225758	P682	Q14873651				BioFunction	chemical compound	biological_process	GlcNAc	Component of Glutamate metabolism		http://www.hmdb.ca/metabolites/HMDB00215	05-18-2017	http://orcid.org/0000-0003-0169-8159	
CHEBI:506227	RO:0002331	involved in			GO:0018146	Q27225758	P682	Q21102399				BioFunction	chemical compound	biological_process	GlcNAc	Component of Keratan sulfate biosynthesis		http://www.hmdb.ca/metabolites/HMDB00215	05-18-2017	http://orcid.org/0000-0003-0169-8159	
CHEBI:506227	RO:0002331	involved in			GO:0035528	Q27225758	P682	Q22281219				BioFunction	chemical compound	biological_process	GlcNAc	Component of N-Glycan biosynthesis		http://www.hmdb.ca/metabolites/HMDB00215	05-18-2017	http://orcid.org/0000-0003-0169-8159	
CHEBI:506227	RO:0002331	involved in			FOODON:03401298	Q27225758	P680	Q645858				BioFunction	chemical compound	molecular function	GlcNAc	Dietary supplement		http://www.hmdb.ca/metabolites/HMDB00215	05-18-2017	http://orcid.org/0000-0003-0169-8159	
CHEBI:506227	RO:0002331	involved in			CHEBI:27027	Q27225758	P680	Q531507				BioFunction	chemical compound	molecular function	GlcNAc	Micronutrient		http://www.hmdb.ca/metabolites/HMDB00215	05-18-2017	http://orcid.org/0000-0003-0169-8159	
CHEBI:506227	BFO:0000050	is part of			GO:0005737	Q27225758	P681	Q79899				located	chemical compound	cell component	GlcNAc	Cytoplasm		http://www.hmdb.ca/metabolites/HMDB00215	05-18-2017	http://orcid.org/0000-0003-0169-8159	
