subject_id	property_id	property_label	property_description	property_uri	object_id	subject_qid	property_pid	object_qid	reference_uri	reference_supporting_text	reference_date	property_term	subject_type	object_type	subject_term	object_term	prevalence	curation_evidence	curation_date	curator_uri	comments
NCBIGene:358	RO:0002331	involved in			KEGG-path:map04976	Q14905238	P361	Q30039518				participates	gene	pathway	AQP1	Bile secretion		https://monarchinitiative.org/gene/NCBIGene%3A358#pathways	2017-11-16	http://orcid.org/0000-0003-0169-8159	I have only included the pathways from KEGG that seems are not retrievable edges from the Monarch API.
NCBIGene:358	RO:0002331	involved in			KEGG-path:map04964	Q14905238	P361	Q30039529				participates	gene	pathway	AQP1	Proximal tubule bicarbonate reclamation		https://monarchinitiative.org/gene/NCBIGene%3A358#pathways	2017-11-16	http://orcid.org/0000-0003-0169-8159	I have only included the pathways from KEGG that seems are not retrievable edges from the Monarch API.
NCBIGene:358	RO:0002331	involved in			KEGG-path:maphsa04924	Q14905238	P361					participates	gene	pathway	AQP1	Renin secretion		https://monarchinitiative.org/gene/NCBIGene%3A358#pathways	2017-11-16	http://orcid.org/0000-0003-0169-8159	I have only included the pathways from KEGG that seems are not retrievable edges from the Monarch API.
NCBIGene:358	RO:0002205	has gene product			UniProt:P29972	Q14905238	P688	Q2083074				encodes	gene	protein	AQP1				2017-11-16	http://orcid.org/0000-0003-0169-8159	
NCBIGene:343	RO:0002205	has gene product			UniProt:O94778	Q17830654	P688	Q21106460				encodes	gene	protein	AQP1				2017-11-16	http://orcid.org/0000-0003-0169-8159	
NCBIGene:359	RO:0002205	has gene product			UniProt:P41181	Q14902527	P688	Q2045854				encodes	gene	protein	AQP1				2017-11-16	http://orcid.org/0000-0003-0169-8159	
NCBIGene:361	RO:0002205	has gene product			UniProt:P55087	Q14902502	P688	Q3820749				encodes	gene	protein	AQP1				2017-11-16	http://orcid.org/0000-0003-0169-8159	
NCBIGene:362	RO:0002205	has gene product			UniProt:P55064	Q17831317	P688	Q21106470				encodes	gene	protein	AQP1				2017-11-16	http://orcid.org/0000-0003-0169-8159	
NCBIGene:363	RO:0002205	has gene product			UniProt:Q13520	Q17831370	P688	Q21106475				encodes	gene	protein	AQP1				2017-11-16	http://orcid.org/0000-0003-0169-8159	
NCBIGene:4284	RO:0002205	has gene product			UniProt:P30301	Q18029134	P688	Q21122978				encodes	gene	protein	AQP1				2017-11-16	http://orcid.org/0000-0003-0169-8159	
UniProt:P29972	rdf:type	instance of			InterPro:IPR000425	Q2083074	P31	Q24786770				instance_of	protein	protein family		Major intrinsic protein			2017-11-16	http://orcid.org/0000-0003-0169-8159	
UniProt:O94778	rdf:type	instance of			InterPro:IPR000425	Q21106460	P31	Q24786770				instance_of	protein	protein family		Major intrinsic protein			2017-11-16	http://orcid.org/0000-0003-0169-8159	
UniProt:P41181	rdf:type	instance of			InterPro:IPR000425	Q2045854	P31	Q24786770				instance_of	protein	protein family		Major intrinsic protein			2017-11-16	http://orcid.org/0000-0003-0169-8159	
UniProt:P55087	rdf:type	instance of			InterPro:IPR000425	Q3820749	P31	Q24786770				instance_of	protein	protein family		Major intrinsic protein			2017-11-16	http://orcid.org/0000-0003-0169-8159	
UniProt:P55064	rdf:type	instance of			InterPro:IPR000425	Q21106470	P31	Q24786770				instance_of	protein	protein family		Major intrinsic protein			2017-11-16	http://orcid.org/0000-0003-0169-8159	
UniProt:Q13520	rdf:type	instance of			InterPro:IPR000425	Q21106475	P31	Q24786770				instance_of	protein	protein family		Major intrinsic protein			2017-11-16	http://orcid.org/0000-0003-0169-8159	
UniProt:P30301	rdf:type	instance of			InterPro:IPR000425	Q21122978	P31	Q24786770				instance_of	protein	protein family		Major intrinsic protein			2017-11-16	http://orcid.org/0000-0003-0169-8159	
