id	bridge_id2_qid	qid	semantic_groups	preflabel	synonyms	description	uri	comments
NCBIGene:358		Q14905238	GENE	AQP1	CO|AQP-CHIP|AQP1|aquaporin 1 (Colton blood group)|CHIP28	protein-coding gene in the species Homo sapiens		
KEGG-path:map04976		Q30039518	PHYS	Bile secretion		Biochemical pathway		
KEGG-path:map04964		Q30039529	PHYS	Proximal tubule bicarbonate reclamation		Biochemical pathway		
KEGG-path:maphsa04924			PHYS	Renin secretion		Biochemical pathway		
InterPro:IPR000425		Q24786770	GENE	Major intrinsic protein	MIP|IPR000425	InterPro Family		
NCBIGene:343	NCBIGene:343	Q17830654	GENE	AQP8	AQP8|AQP-8|aquaporin 8	protein-coding gene in the species Homo sapiens		
NCBIGene:359	NCBIGene:359	Q14902527	GENE	AQP2	AQP-CD|aquaporin 2|WCH-CD|AQP2	protein-coding gene in the species Homo sapiens		
NCBIGene:361	NCBIGene:361	Q14902502	GENE	AQP4	AQP4|aquaporin 4|HMIWC2|MIWC|WCH4	protein-coding gene in the species Homo sapiens		
NCBIGene:362	NCBIGene:362	Q17831317	GENE	AQP5	AQP5|AQP-5|aquaporin 5|PPKB	protein-coding gene in the species Homo sapiens		
NCBIGene:363	NCBIGene:363	Q17831370	GENE	AQP6	KID|AQP2L|AQP6|aquaporin 6	protein-coding gene in the species Homo sapiens		
NCBIGene:4284	NCBIGene:4284	Q18029134	GENE	MIP	MIP|major intrinsic protein of lens fiber|CTRCT15|MIP26|MP26|AQP0|LIM1	protein-coding gene in the species Homo sapiens		
UniProt:P29972	UniProt:P29972	Q2083074	GENE	Aquaporin 1 (Colton blood group)	AQP1|Aquaporin-CHIP|Water channel protein for red blood cells and kidney proximal tubule|aquaporin 1 (channel-forming integral protein, 28kDa, CO blood group)|aquaporin 1, Colton blood group antigen|aquaporin-1|channel-like integral membrane protein, 28-kDa|urine water channel	mammalian protein found in Homo sapiens		
UniProt:O94778	UniProt:O94778	Q21106460	GENE	Aquaporin 8	AQP8|aquaporin-8	mammalian protein found in Homo sapiens		
UniProt:P41181	UniProt:P41181	Q2045854	GENE	Aquaporin 2	AQP-CD|WCH-CD|AQP-2|aquaporin-2|AQP2|ADH water channel|Water channel protein for renal collecting duct|aquaporin 2 (collecting duct)|aquaporin-CD|collecting duct water channel protein|water-channel aquaporin 2	mammalian protein found in Homo sapiens		
UniProt:P55087	UniProt:P55087	Q3820749	GENE	Aquaporin 4	AQP4|Mercurial-insensitive water channel|MIWC|WCH4|aquaporin-4|aquaporin type4	mammalian protein found in Homo sapiens		
UniProt:P55064	UniProt:P55064	Q21106470	GENE	Aquaporin 5	AQP5|aquaporin-5	mammalian protein found in Homo sapiens		
UniProt:Q13520	UniProt:Q13520	Q21106475	GENE	Aquaporin 6	AQP6|Aquaporin-2-like|hKID|AQP-6|aquaporin-6|aquaporin 2-like, kidney specific|aquaporin-6, kidney specific|kidney-specific aquaporin	mammalian protein found in Homo sapiens		
UniProt:P30301	UniProt:P30301	Q21122978	GENE	Major intrinsic protein of lens fiber	MIP|MIP26|MP26|Aquaporin-0|lens fiber major intrinsic protein|aquaporin 0	mammalian protein found in Homo sapiens		
