id	bridge_id2_qid	qid	semantic_groups	preflabel	synonyms	description	uri	comments
DOID:0060728		Q28024539	DISO	NGLY1-deficiency	congenital disorder of deglycosylation|congenital disorder of glycosylation type Iv|deficiency of N-glycanase 1|NGLY1-CDDG|Alacrimia-choreoathetosis-liver dysfunction syndrome	Human disease		
GO:0006515		Q21108009	PHYS	misfolded or incompletely synthesized protein catabolic process	degradation of misfolded or incompletely synthesized proteins|misfolded or incompletely synthesized protein breakdown|misfolded or incompletely synthesized protein catabolism|misfolded or incompletely synthesized protein degradation	The chemical reactions and pathways resulting in the breakdown of misfolded or attenuated proteins.		
GO:0006516		Q21101373	PHYS	glycoprotein catabolic process	glycoprotein breakdown|glycoprotein catabolism|glycoprotein degradation	The chemical reactions and pathways resulting in the breakdown of glycoproteins, any protein that contains covalently bound glycose (i.e. monosaccharide) residues; the glycose occurs most commonly as oligosaccharide or fairly small polysaccharide but		
GO:0005829		Q220599	ANAT	cytosol	GO:0005829	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.		
GO:0006517		Q14905965	PHYS	protein deglycosylation	glycoprotein deglycosylation|GO:0006517	The removal of sugar residues from a glycosylated protein.		
GO:0000224		Q21119039	PHYS	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	PNGase|N-linked-glycopeptide-(N-acetyl-beta-D-glucosaminyl)-L-asparagine amidohydrolase activity	Catalysis of the reaction: 4-N-(N-acetyl-D-glucosaminyl)-protein + H2O = N-acetyl-beta-D-glucosaminylamine + peptide L-aspartate. This reaction is the hydrolysis of an N4-(acetyl-beta-D-glucosaminyl)asparagine residue in which the N-acetyl-D-glucosam		
HGVS:NM_018297.3:c.1201A>T		Q29016913	VARI	NGLY1 Variant 50962				
CL:0000738	FMA_62852; CL_0000738	Q42395	ANAT	white blood cell	leukocyte	type of cells of the immunological system		
HP:0000486	MESH:D013285	Q179951	DISO	strabismus	kreol	Human disease		
HP:0000522	MESH:C562827	Q19595845	DISO	Alacrima	Alachryma	abnormality in tear production		
HP:0001250	MESH:D012640	Q6279182	DISO	epileptic seizure	seizure	disease		
HP:0001252	MESH:D009123	Q1753547	DISO	Hypotonia	Low Muscle Tone|Muscular hypotonia	Abnormally low muscle tone		
