id:ID,:LABEL,preflabel,synonyms:IGNORE,name,description
DOID:0060728,DISO,NGLY1-deficiency,congenital disorder of deglycosylation|congenital disorder of glycosylation type Iv|deficiency of N-glycanase 1|NGLY1-CDDG|Alacrimia-choreoathetosis-liver dysfunction syndrome,NA,Human disease
GO:0006515,PHYS,misfolded or incompletely synthesized protein catabolic process,degradation of misfolded or incompletely synthesized proteins|misfolded or incompletely synthesized protein breakdown|misfolded or incompletely synthesized protein catabolism|misfolded or incompletely synthesized protein degradation,misfolded or incompletely synthesized protein catabolic process,The chemical reactions and pathways resulting in the breakdown of misfolded or attenuated proteins.
GO:0006516,PHYS,glycoprotein catabolic process,glycoprotein breakdown|glycoprotein catabolism|glycoprotein degradation,glycoprotein catabolic process,"The chemical reactions and pathways resulting in the breakdown of glycoproteins, any protein that contains covalently bound glycose (i.e. monosaccharide) residues; the glycose occurs most commonly as oligosaccharide or fairly small polysaccharide but"
GO:0005829,ANAT,cytosol,GO:0005829,NA,"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
GO:0006517,PHYS,protein deglycosylation,glycoprotein deglycosylation|GO:0006517,protein deglycosylation,The removal of sugar residues from a glycosylated protein.
GO:0000224,PHYS,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity,PNGase|N-linked-glycopeptide-(N-acetyl-beta-D-glucosaminyl)-L-asparagine amidohydrolase activity,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity,Catalysis of the reaction: 4-N-(N-acetyl-D-glucosaminyl)-protein + H2O = N-acetyl-beta-D-glucosaminylamine + peptide L-aspartate. This reaction is the hydrolysis of an N4-(acetyl-beta-D-glucosaminyl)asparagine residue in which the N-acetyl-D-glucosam
ClinVarVariant:50962,VARI,NGLY1 Variant 50962,NA,NGLY1 Variant 50962,NA
CL:0000738,ANAT,white blood cell,leukocyte,white blood cell,type of cells of the immunological system
HP:0000486,DISO,strabismus,kreol,VANGL planar cell polarity 2,Human disease
HP:0000522,DISO,Alacrima,Alachryma,NA,abnormality in tear production
HP:0001250,DISO,epileptic seizure,seizure,epileptic seizure,disease
HP:0001252,DISO,Hypotonia,Low Muscle Tone|Muscular hypotonia,NA,Abnormally low muscle tone
HP:0001263,DISO,Developmental disability,HP:0001263,Developmental disability,Prevention
HP:0001265,DISO,hyporeflexia,HP:0001265,NA,NA
HP:0001395,DISO,liver cirrhosis,Cirrhosis|cirrhosis of liver|cirrhosis of the liver|liver cirrhosis,liver cirrhosis,disease of the liver
HP:0001773,DISO,Short foot,Short feet|Small feet|Hypoplastic feet,Short foot,Short foot refers to a foot that is unusually short.
HP:0001999,DISO,Abnormal facial shape,Dysmorphic facies,Abnormal facial shape,An abnormal morphology (form) of the face or its components.
HP:0002019,DISO,constipation,HP:0002019,NA,A bowel dysfunction that is characterized by infrequent or difficult evacuation of feces.
HP:0001249,DISO,intellectual disability,ID|general learning disability|IDD|intellectual developmental disability|mental retardation|syndromic intellectual disability,intellectual disability,generalized neurodevelopmental disorder
HP:0002650,DISO,scoliosis,HP:0002650,NA,spinal medical condition
HP:0002910,DISO,Elevated transaminases,Elevated hepatic transaminases,Elevated transaminases,Elevations of the levels of transaminases in the serum.
HP:0004305,DISO,movement disease,movement disease,movement disease,Human disease
HP:0006958,DISO,Abnormal auditory evoked potentials,ABR abnormalities,Abnormal auditory evoked potentials,"An abnormality of the auditory evoked potentials, which are used to trace the signal generated by a sound, from the cochlear nerve, through the lateral lemniscus, to the medial geniculate nucleus, and to the cortex."
HP:0009830,DISO,peripheral nervous system disease,peripheral neuropathy|peripheral nerve disease,peripheral nervous system disease,A nervous system disease that affects the peripheral nervous system.
HP:0012638,DISO,Imaging of brain abnormal,Abnormal brain imaging,Imaging of brain abnormal,NA
HP:0012804,DISO,corneal ulcer,corneal ulceration,corneal ulcer,Human disease
HP:0200055,DISO,Small hand,Small hands,Small hand,NA
